img,img description,translation,date,time,hasFlower,beSafe,beHappy
IMG_0881.JPG,herons standing on a patch of grass in water,good morning happy healthy,03/02/2023,6:10 AM,FALSE,TRUE,TRUE
IMG_0882.JPG,white flowers in a pot in front of a window,"Every morning, give yourself a hope, give yourself a warmth, give yourself a love, just be happy today and not worry about tomorrow Good morning Good morning",03/02/2023,6:12 AM,TRUE,FALSE,TRUE
IMG_0883.JPG,digital art of flower and heart in the snow with a sunset in the background,good morning joy and peace begins,03/02/2023,7:01 AM,TRUE,TRUE,TRUE
IMG_0884.JPG,cranes standing in water with flowers and grass,good morning wishful thinking,03/02/2023,7:26 AM,TRUE,FALSE,FALSE
IMG_0885.JPG,purple morning glory with leaves and added bubble hearts,"Peace and joy every day, good morning",03/02/2023,7:27 AM,TRUE,TRUE,TRUE
IMG_0886.JPG,close up of digital pink lotuses ,"Good morning, with a compassionate heart, the lotus blooms, and the blossoming lotus is free",03/02/2023,7:43 AM,TRUE,FALSE,FALSE
IMG_0887.JPG,close up of purple roses,"Good morning, cherish, be grateful, a fate between people, a heart between love and love",03/03/2023,5:59 AM,TRUE,FALSE,FALSE
IMG_0888.JPG,orange vase filled with orange roses and daisies ,A beautiful day is about to start again~~~ Good morning!,03/03/2023,6:02 AM,TRUE,FALSE,FALSE
IMG_0889.JPG,overview of digital town with buildings and trees covered in snow,"Good morning, it's cold in the morning, keep warm",03/03/2023,6:03 AM,FALSE,FALSE,FALSE
IMG_0890.JPG,"blue, red, and yellow eternal flowers on a table infront of white sofa and deep red wall",good morning happy good morning joy happy and healthy,03/03/2023,6:50 AM,TRUE,TRUE,TRUE
IMG_0891.JPG,illustration of girl sitting on a blue bag with flowers and palm trees reading a book,"Good morning, keep smile on your lips, be happy and rest assured",03/03/2023,7:22 AM,TRUE,FALSE,TRUE
IMG_0892.JPG,cherry blossom and cup cakes ,good morning wishful thinking,03/03/2023,7:23 AM,TRUE,FALSE,FALSE
IMG_0893.JPG,pink flower and pink background,Good Morning Happy Healthy Good Morning!,03/04/2023,6:45 AM,TRUE,TRUE,TRUE
IMG_0894.JPG,"coffee mugs on tray, one filled with hot coffee and the other with a flower branch","Years go by in the blink of an eye, love at first sight is fate, friendship remains the same, and friends are what we care about wholeheartedly. Good morning, be safe",03/04/2023,6:50 AM,TRUE,TRUE,FALSE
IMG_0895.JPG,white bike carrying a bunch of flowers with colours that mimic the sunset,Good Morning! Happy Healthy Joy,03/04/2023,6:51 AM,TRUE,FALSE,TRUE
IMG_0896.JPG,close up of leaves with condensation,"Good morning, with a normal heart, wait for the future to be long",03/04/2023,7:08 AM,FALSE,FALSE,FALSE
IMG_0897.JPG,koi fishes in a pond with grass ,"Good morning, like a fish in water, all wishes come true",03/04/2023,7:12 AM,FALSE,FALSE,FALSE
IMG_1023.JPG,"illustration of some buildings, animals, trees, and landscape ",good morning good day happy,03/04/2023,7:58 AM,TRUE,FALSE,TRUE
IMG_1024.JPG,illustration of a little boy wearing a blue hat sitting on rooftop with cats and a smiling sun,"Good morning, safe and happiest Good Morning",03/05/2023,7:02 AM,FALSE,TRUE,FALSE
IMG_1025.JPG,illustration of a girl painting a watermelon with a dog and squirrel ,"Life does not seek full marks, only satisfaction, good morning",03/05/2023,7:09 AM,FALSE,FALSE,FALSE
IMG_1026.JPG,illustration of a boy with yellow cap sitting on logs with a dog and bag hanging ,good morning satisfactory,03/05/2023,7:27 AM,FALSE,FALSE,FALSE
IMG_1027.JPG,blurred green leaves in the background,"Good morning, everything will happen as it should, feel at ease, rest assured, have confidence, be at ease with the situation, and be at ease with the situation.",03/05/2023,7:27 AM,FALSE,FALSE,FALSE
IMG_1028.JPG,illustration of girl wearing traditional korean gown holding an umbrella with a white rabbit by her side and yellow flowers falling ,"Good morning, you have sunshine in your heart, live with love, take a step forward, and go on the road with ease. Good morning, friends!",03/05/2023,8:51 AM,TRUE,FALSE,FALSE
IMG_1029.JPG,close up of a pinkish purple rose with condensation,3.8 Happy Women's Day Good Morning,03/05/2023,8:53 AM,TRUE,FALSE,TRUE
IMG_1030.JPG,side view of pink lotus,good morning thank you have a good day,03/06/2023,8:59 AM,TRUE,FALSE,FALSE
IMG_1031.JPG,side view of red rose,"Wake up early in the morning, wish you all the best",03/06/2023,12:11 PM,TRUE,FALSE,FALSE
IMG_1032.JPG,side view of yellow and red rose with leaves,good morning everything is fine,03/06/2023,12:12 PM,TRUE,FALSE,FALSE
IMG_1033.JPG,side view of white flowers with leaves,"good morning Good morning, I wish my friends a happy day and a lot of warmth",03/06/2023,12:40 PM,TRUE,FALSE,TRUE
IMG_1034.JPG,"cave like view with water, rocks, cherry blossoms, and trees",good morning safe and healthy,03/06/2023,12:41 PM,TRUE,TRUE,FALSE
IMG_1035.JPG,view of side of lake with side walk and bench on grass with trees,"Good morning, the most beautiful thing in life is not the scenery, but the happy mood every day",03/07/2023,6:53 AM,FALSE,FALSE,TRUE
IMG_1036.JPG,pinkish purple flowers and leaves,"Good morning, there is sunshine in the heart, and the flowers always bloom! With kind thoughts in your heart, blessings are always there!",03/07/2023,6:53 AM,TRUE,FALSE,FALSE
IMG_1037.JPG,"purple, white, and pink tulips with pink and green vases","Good morning Joy In addition to the sense of responsibility in life, there is also a sense of joy, beauty, and happiness!",03/07/2023,6:53 AM,TRUE,FALSE,TRUE
IMG_1038.JPG,little girl wearing yellow and dark green holding a dog smiling,"Good morning, love makes people healthy, kindness makes people beautiful, and sincerity makes people happy. Bless you~ Life is more exciting and life is cuter GoodMorning",03/07/2023,6:54 AM,FALSE,FALSE,TRUE
IMG_1039.JPG,cherry blossoms from a bottom view,Good morning! Friends Cherry blossoms are in full bloom and spring is here. Let go of your mood and happiness will come.,03/07/2023,6:59 AM,TRUE,FALSE,TRUE
IMG_1040.JPG,purple orchids infront of stone with chinese characters inscripted and red chinese symbol,good morning peace joy happiness,03/07/2023,7:20 AM,TRUE,TRUE,TRUE
IMG_1041.JPG,illustrations of flowers and birds with a green background,"Good morning, peace and joy",03/07/2023,7:24 AM,TRUE,TRUE,TRUE
IMG_1042.JPG,close up of dragonfly and a single purple flower,"Good morning, auspicious, comfortable and joyful",03/07/2023,7:41 AM,TRUE,FALSE,TRUE
IMG_1043.JPG,view of sunrise with grass,"Good morning, safe, healthy and happy",03/07/2023,12:37 PM,FALSE,TRUE,TRUE
